subject_id,copy_number,fusion_fission,mitophagy,heterogeneity,metabolism_>_carbohydrate_metabolism_>_tca_cycle,metabolism_>_metals_and_cofactors_>_copper_metabolism,metabolism_>_metals_and_cofactors_>_fe_s_containing_proteins,mitochondrial_dynamics_and_surveillance,mitochondrial_dynamics_and_surveillance_>_cristae_formation,mitochondrial_dynamics_and_surveillance_>_fission,mitochondrial_dynamics_and_surveillance_>_fusion,mitochondrial_dynamics_and_surveillance_>_organelle_contact_sites,oxphos_>_complex_i_>_ci_subunits,oxphos_>_complex_ii_>_cii_subunits,oxphos_>_complex_iv_>_civ_subunits,oxphos_>_complex_v_>_cv_subunits,oxphos_>_oxphos_subunits,protein_import,signaling_>_calcium_homeostasis_>_calcium_cycle,signaling_>_calcium_homeostasis_>_mitochondrial_permeability_transition_pore,small_molecule_transport,small_molecule_transport_>_slc25a_family,sorting_and_homeostasis_>_protein_homeostasis_>_chaperones,sorting_and_homeostasis_>_protein_import_and_sorting_>_tom,MHI
HTAPP-862,0.0,0.19234386,-0.30483797,0.1782841413332882,,,,,,,,,,,,,,,,,,,,,0.16647508231185984
MS13451QE_Bruno_Lyden_831brain_B,,,,,0.0,0.001149795544809347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001149795544809347,0.0,0.0,0.001149795544809347,0.0,0.0,0.0
MS13451QE_Bruno_Lyden_BXPC3pacreatic_A,,,,,0.0,0.0002757634085057452,0.0,0.0,0.0,0.0,0.0,0.0002461854499769534,0.0,0.0,0.0,0.001196551494927951,0.001196551494927951,5.164804750509924e-05,0.0002757634085057452,0.0002461854499769534,0.0002461854499769534,0.0002757634085057452,5.164804750509924e-05,0.0,0.0
MS13451QE_Bruno_Lyden_BXPC3pacreatic_B,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027330913458871914,0.0,0.0,0.0,0.00036130279220848846,0.00036130279220848846,0.00010386539653331603,0.0,0.00027330913458871914,0.00027330913458871914,0.0,0.00010386539653331603,0.0,0.0
MS13451QE_Bruno_Lyden_BXPC3pacreatic_C,,,,,0.00010234395704023977,0.00015752736891492435,0.0,0.0,0.0,0.0,0.0,0.00032525619952207167,0.0,0.00010234395704023977,0.0,0.0007194010574708303,0.0008217450145110701,7.45538640916269e-05,0.00015752736891492435,0.00032525619952207167,0.00032525619952207167,0.00015752736891492435,7.45538640916269e-05,0.0,0.0
MS13451QE_Bruno_Lyden_BXPC3pacreatic_C_repeat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042055581946787347,0.0,0.0,0.0,0.0008393358224755631,0.0008393358224755631,9.547390557936628e-05,0.0,0.00042055581946787347,0.00042055581946787347,0.0,9.547390557936628e-05,0.0,0.0
MS13451QE_Bruno_Lyden_HPAF2pacreatic_A,,,,,0.0003900460363430819,0.0003286738469268079,0.0,0.0,0.0,0.0,0.0,0.0011368017690633976,0.0,0.0003900460363430819,7.342307961047497e-05,0.003418706014898889,0.003882175130852446,0.00042466762421064096,0.0003286738469268079,0.0011368017690633976,0.0011368017690633976,0.0003286738469268079,0.00042466762421064096,0.0,0.0
MS13451QE_Bruno_Lyden_HPAF2pacreatic_B,,,,,0.0005094837049199382,0.0009412425241310008,0.0,0.0,0.0,0.0,0.0,0.0008215165163463677,0.0,0.0005094837049199382,2.8794104872204243e-05,0.0031932732487485963,0.0037315510585407387,0.00043189351096982025,0.0009412425241310008,0.0008215165163463677,0.0008215165163463677,0.0009412425241310008,0.00043189351096982025,0.0,0.0
MS13451QE_Bruno_Lyden_HPAF2pacreatic_C,,,,,0.000686710347885248,0.0003464752821028842,0.0,0.0,0.0,0.0,0.0,0.0010201391967017007,0.0,0.000686710347885248,0.0,0.003198723044881084,0.0038854333927663322,0.00044089792533456157,0.0003464752821028842,0.0010201391967017007,0.0010201391967017007,0.0003464752821028842,0.00044089792533456157,0.0,0.0
MS13451QE_Bruno_Lyden_S137025lymph_B,,,,,0.0,0.0,0.0,0.0,0.0,0.00013571025921817735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
